Corpus 1,Corpus 2,value
Ha_Drakon,BendavidDudi,0.4977559522195336
Ha_Drakon,AmnonShulman,0.49776084559385775
Ah56015457,1Ycmeired,0.4982450962376222
ilan97933576,Ah56015457,0.4992193695839294
indianados1,AmnonShulman,0.4992701776085244
InbalShaky,AmnonShulman,0.49941370897887416
ZaguriMor13184,KingDavid1711,0.49979203128194555
tamim1379487781,AmnonShulman,0.5000892773083696
KingDavid1711,AmirLevy3,0.500850662641837
InbalShaky,FrazzleUnicorn,0.5018022576715498
NacShaul,AmnonShulman,0.502355294416196
gl_xllk,AriBargar,0.5025490082735842
gl_xllk,Nobleinopal,0.5025561756423403
SwmrwnWry38466,AmnonShulman,0.5025909615618985
FrazzleUnicorn,AmirLevy3,0.5026816921971473
SwmrwnWry38466,Meir1973782,0.5029444066181994
wtf25986999,danidin090,0.5029680395930466
selectivit,NatiFrid,0.5032274932555606
Z87362157,AmnonShulman,0.5045769795147569
tamim1379487781,FrazzleUnicorn,0.5047684949665338
BendavidDudi,AmirLevy3,0.5050821832686015
slinkysown68849,danidin090,0.5053013645160539
gl_xllk,Ah56015457,0.5053024644076609
SwmrwnWry38466,KingDavid1711,0.5054121361356538
wtf25986999,ilan97933576,0.5056030255637526
smolan_with_s,Ah56015457,0.5067613339158271
lion7053,duct_pure,0.5068229582620254
SwmrwnWry38466,BendavidDudi,0.5073414522246691
Z87362157,KingDavid1711,0.5074566027218641
ziporaortal,Z87362157,0.5089838062976173
tamim1379487781,SwmrwnWry38466,0.5091090741707225
NatiFrid,EpsteinBarr7,0.5091094651175503
NacShaul,BendavidDudi,0.5091717074347963
ziporaortal,AmirLevy3,0.5094194011075901
edihoo2,NacShaul,0.5095568867077231
ilan97933576,AriBargar,0.5103074333404891
danidin090,Ah56015457,0.510332696425162
selectivit,Nobleinopal,0.5107878334606267
selectivit,Ah56015457,0.511136810039656
Meir1973782,Ilana80028045,0.5112086578350675
NatiFrid,Ilana80028045,0.5116150094306441
Ha_Drakon,FrazzleUnicorn,0.5116383264735437
danidin090,NatiFrid,0.5117212173422371
edihoo2,Ha_Drakon,0.5119395730541922
tamim1379487781,KingDavid1711,0.5121235060570599
edihoo2,AmirLevy3,0.5123746817000171
edihoo2,SwmrwnWry38466,0.512415252172807
slinkysown68849,ilan97933576,0.5124646451169702
EpsteinBarr7,Ah56015457,0.5125177217451037
igal80448046748,Nobleinopal,0.51257394641691
NatiFrid,AlonGafni1,0.5126356075431496
selectivit,AriBargar,0.5132002838770028
tamim1379487781,Z87362157,0.5132940578932955
Z87362157,SwmrwnWry38466,0.513526270589728
Z87362157,FrazzleUnicorn,0.5138177460797595
wtf25986999,gl_xllk,0.5138861051154288
Z87362157,BendavidDudi,0.5138891029534333
Z87362157,Meir1973782,0.514006879249933
ziporaortal,duct_pure,0.5140899083962018
SwmrwnWry38466,MyWyzmn8996,0.5141511471293918
slinkysown68849,Ilana80028045,0.5143027030928063
Nobleinopal,EpsteinBarr7,0.5143969676423572
Ilana80028045,Ah56015457,0.5148808713169554
NatiFrid,Efke12,0.5152479739852761
elizipori,AriBargar,0.5155754393639213
levyalbertino,NatiFrid,0.5158777633139545
elizipori,Ah56015457,0.515978491398577
NacShaul,FrazzleUnicorn,0.5162676888061791
SwmrwnWry38466,FrazzleUnicorn,0.5164003627538206
igal80448046748,NatiFrid,0.5165515048330585
thefardude,AriBargar,0.5172566240898284
anibibist,NatiFrid,0.5173491958235679
OFgSTCH7IvIILSB,Nobleinopal,0.5180058112407646
ilan97933576,AmnonShulman,0.5180639127921398
ziporaortal,Ha_Drakon,0.5181633654196921
tamim1379487781,BendavidDudi,0.5185703615918359
EpsteinBarr7,AriBargar,0.5189454862502209
wtf25986999,Ilana80028045,0.5189555705766493
tamim1379487781,edihoo2,0.518964671468804
danidin090,AriBargar,0.5192108692691793
InbalShaky,BendavidDudi,0.5201236876840587
Ilana80028045,FrazzleUnicorn,0.5201868855932223
Efke12,AriBargar,0.5202662493193491
slinkysown68849,gl_xllk,0.5207185715851553
yossibeber1,NatiFrid,0.5208258250154556
thefardude,NatiFrid,0.5210796824497262
Nobleinopal,Ilana80028045,0.5213149756766503
danidin090,Nobleinopal,0.5213651727612982
rikiblaiberg,NatiFrid,0.5217630489615862
gl_xllk,AmnonShulman,0.5218602818125727
wtf25986999,selectivit,0.522013332245869
igal80448046748,Ah56015457,0.5221629501374481
slinkysown68849,selectivit,0.5222186132257929
elizipori,Nobleinopal,0.5223257677785472
duct_pure,NacShaul,0.5228349565427703
Z87362157,MyWyzmn8996,0.5229523558070523
edihoo2,Z87362157,0.5234205035967251
wtf25986999,thefardude,0.5239131889325706
thefardude,Nobleinopal,0.5240201292738391
gili_zur,NatiFrid,0.5240648868919583
thefardude,Ah56015457,0.5244322065647187
wtf25986999,OFgSTCH7IvIILSB,0.5246619655151092
tamim1379487781,MyWyzmn8996,0.5253496933471326
ilan97933576,KingDavid1711,0.5254947789175365
levyalbertino,Nobleinopal,0.5255977966300033
NacShaul,KingDavid1711,0.525609520637181
Ilana80028045,AriBargar,0.5258371516186252
igal80448046748,AriBargar,0.5262555638379893
duct_pure,ZaguriMor13184,0.5266202801722657
gl_xllk,Meir1973782,0.5267790362995178
wtf25986999,avar14700079,0.5269715543051066
ilan97933576,BendavidDudi,0.5274419663566963
MyWyzmn8996,Ha_Drakon,0.5274466996571749
KingDavid1711,InbalShaky,0.5274905376879448
ilan97933576,Meir1973782,0.5275315254818949
hotbot699,NatiFrid,0.5277380021342502
wtf25986999,EpsteinBarr7,0.5278811041891058
tami2759721463,slinkysown68849,0.5281712408528588
levyalbertino,Ah56015457,0.5283109126407821
wtf25986999,igal80448046748,0.5284927229005989
yossibeber1,Ah56015457,0.5287148501376305
avar14700079,Nobleinopal,0.5292445258844103
slinkysown68849,OFgSTCH7IvIILSB,0.5292960916165216
NatiFrid,LakersssLa,0.5299850270449104
duct_pure,MyWyzmn8996,0.5300248029925417
tami2759721463,NatiFrid,0.5300267996373418
ptrywt21,KingDavid1711,0.5300936274459732
yossibeber1,wtf25986999,0.5304349507681718
tami2759721463,Nobleinopal,0.53052552881171
slinkysown68849,igal80448046748,0.5306718597971596
thefardude,slinkysown68849,0.5308274832075777
AriBargar,AlonGafni1,0.5314133704447118
babusha110,NatiFrid,0.5314459191801685
lion7053,AmirLevy3,0.5316231074644374
rikiblaiberg,Ah56015457,0.5317904599829892
selectivit,MyWyzmn8996,0.5324160161048397
levyalbertino,AriBargar,0.532425138997466
yossibeber1,AriBargar,0.5327229985012952
yossibeber1,Nobleinopal,0.5328709169771918
hotbot699,AriBargar,0.5329090653681027
prydmn6,ShbrYwsy,0.5334646944324961
ziporaortal,InbalShaky,0.5334829852242373
danidin090,AmnonShulman,0.533767185825891
ziporaortal,ilan97933576,0.5339130736086232
ilan97933576,SwmrwnWry38466,0.5339568644883581
Efke12,Ah56015457,0.5343689180543756
slinkysown68849,levyalbertino,0.5346013339186273
naorlyn,NatiFrid,0.534820213454237
slinkysown68849,hotbot699,0.5350678725942226
wtf25986999,hotbot699,0.5351328638747652
moving_bot22,NatiFrid,0.5355769858572453
hotbot699,Ah56015457,0.535680936637464
Nobleinopal,1Ycmeired,0.5364742948444766
lion7053,MyWyzmn8996,0.5364945805993613
MyWyzmn8996,AmirLevy3,0.5368509302350684
thefardude,KingDavid1711,0.5370418758054437
slinkysown68849,EpsteinBarr7,0.537112406400127
yossibeber1,slinkysown68849,0.5372839394544976
hotbot699,Nobleinopal,0.5375153736860806
naorlyn,Nobleinopal,0.5378479227059657
tami2759721463,Ah56015457,0.5378621804536514
wtf25986999,paXqueville,0.5379435573460547
yossibeber1,AmnonShulman,0.5383167845207205
Ilana80028045,AmnonShulman,0.5383170813773321
lion7053,SwmrwnWry38466,0.5384189440094147
danidin090,FrazzleUnicorn,0.5385612858978956
SwmrwnWry38466,Ha_Drakon,0.5386724951825616
danidin090,Meir1973782,0.5386823824405123
Nobleinopal,Az291058,0.538701137866251
thefardude,Meir1973782,0.539060493638444
wtf25986999,levyalbertino,0.5391502768692497
wtf25986999,LakersssLa,0.5395840878647723
selectivit,Meir1973782,0.5396086319323837
wtf25986999,tami2759721463,0.5396281171870632
gl_xllk,BendavidDudi,0.5401517036159192
paXqueville,Nobleinopal,0.540403186914256
lion7053,Z87362157,0.5404222027820001
ilan97933576,Z87362157,0.5404422167891904
Z87362157,Ha_Drakon,0.5406788064607763
Meir1973782,EpsteinBarr7,0.5407542380155608
wtf25986999,Az291058,0.54095531574817
AlonGafni1,Ah56015457,0.5410097450689695
babusha110,Nobleinopal,0.5413004522437486
danidin090,KingDavid1711,0.5413661459655966
ilan97933576,edihoo2,0.5415648523201877
babusha110,Ah56015457,0.5416911302059493
tami2759721463,AriBargar,0.5420153086128664
Nobleinopal,LakersssLa,0.5420689918958913
LakersssLa,AriBargar,0.5421157715959019
OFgSTCH7IvIILSB,Meir1973782,0.5421992152674613
LakersssLa,Ah56015457,0.5423722733411228
rikiblaiberg,AriBargar,0.5427314743816251
mHtUq817Q1VAYag,AriBargar,0.5427717305296723
gl_xllk,edihoo2,0.5427881161536147
ziporaortal,danidin090,0.5429462197172101
Ilana80028045,BendavidDudi,0.5430939554882684
Z87362157,AmirLevy3,0.5431026818477724
tamim1379487781,Ha_Drakon,0.5431162985410298
yossibeber1,Meir1973782,0.5432033125094273
gili_zur,Ah56015457,0.5433721760600231
ilan97933576,MyWyzmn8996,0.5433842324434794
babusha110,AriBargar,0.543502271184007
igal80448046748,Meir1973782,0.5436473595814171
selectivit,AmnonShulman,0.5438460524467869
lion7053,ZaguriMor13184,0.5441088118394998
Meir1973782,Az291058,0.5446297198921498
